DATE,GDPGrothRate,InflationRate,GDPBillionUSD,ExportValueBillionUSD,ImportValueBillionUSD,UnemploymentRate,CurrentAccountDeficit
12/31/1960,1.0568,1.7799,37.029883876184,1.6527016527017,2.5305025305025,,-0.8778008778009
12/31/1961,3.7227,1.6952,39.232435784036,1.6884016884017,2.3373023373023,,-0.6489006489006
12/31/1962,2.9311,3.6322,42.161481858082,1.7577017577018,2.5431025431025,,-0.7854007854008
12/31/1963,5.9944,2.9462,48.421923459123,2.0727020727021,2.8602028602029,,-0.7875007875008
12/31/1964,7.453,13.3553,56.48028994099,2.1042021042021,3.2109032109032,,-1.1067011067011
12/31/1965,-2.6358,9.4748,59.554854575809,1.9697606047879,3.1037379252415,,-1.1339773204536
12/31/1966,-0.0553,10.8018,45.865462034286,1.9,3.06,,-1.16
12/31/1967,7.826,13.0622,50.134942204,2.0226666666667,2.9813333333333,,-0.9586666666667
12/31/1968,3.3879,3.2374,53.085455870667,2.144,2.624,,-0.48
12/31/1969,6.5397,-0.5841,58.447995017333,2.1706666666667,2.356,,-0.1853333333333
12/31/1970,5.1572,5.0923,62.422483054667,2.3613333333333,2.4213333333333,,-0.06
12/31/1971,1.6429,3.0799,67.350988021393,2.4698989464631,2.6956568479897,,-0.2257579015266
12/31/1972,-0.5533,6.4421,71.463193831009,2.8781724575065,2.6505057822161,,0.2276666752904
12/31/1973,3.2955,16.9408,85.5152695854,3.599135190131,4.0391707999491,,-0.4400356098181
12/31/1974,1.1853,28.5987,99.525899116054,4.8084156677868,5.9920256783189,,-1.1836100105321
12/31/1975,9.1499,5.7484,98.472796456884,5.560820024499,6.5454041186123,,-0.9845840941133
12/31/1976,1.6631,-7.6339,102.7171644664,6.8681964131882,6.2808364006578,,0.5873600125303
12/31/1977,7.2548,8.3075,121.48732247591,7.7547445255475,7.611094890511,,0.1436496350365
12/31/1978,5.7125,2.523,137.3002953133,8.6702736954985,9.0455996685433,,-0.3753259730448
12/31/1979,-5.2382,6.2757,152.99165379377,10.326383041949,12.498142736863,,-2.1717596949136
12/31/1980,6.7358,11.3461,186.32534508666,11.439539833773,17.225826069329,,-5.7862862355565
12/31/1981,6.0062,13.1125,193.49061002979,11.485654131297,16.584540954599,,-5.0988868233028
12/31/1982,3.4757,7.8907,200.71514536315,12.00938898871,16.343487427687,,-4.3340984389768
12/31/1983,7.2889,11.8681,218.26227340697,12.741342694504,17.140058765916,,-4.3987160714113
12/31/1984,3.8207,8.3189,212.15823416731,13.330753440792,16.391291180133,,-3.0605377393411
12/31/1985,5.2543,5.5564,232.5118778417,12.217464494092,17.776651903182,,-5.5591874090902
12/31/1986,4.7766,8.7297,248.98599404059,12.9378641536,17.486411449576,,-4.5485472959762
12/31/1987,3.9654,8.8011,279.03358409222,15.638662913984,19.477194741103,,-3.8385318271196
12/31/1988,9.6278,9.3835,296.58899481235,17.899797605808,22.111392789793,,-4.2115951839853
12/31/1989,5.9473,7.0743,296.04235498488,20.77071730363,24.133378144805,,-3.3626608411753
12/31/1990,5.5335,8.9712,320.97902642003,22.639774911553,27.132072318021,,-4.4922974064685
12/31/1991,1.0568,13.8702,270.10534187923,22.943398073299,22.941358805152,5.727,0.0020392681474
12/31/1992,5.4824,11.7878,288.20843038396,25.486060890604,27.639684528971,5.691,-2.1536236383669
12/31/1993,4.7508,6.3269,279.29602298792,27.466578243417,27.419390836078,5.739,0.0471874073389
12/31/1994,6.6589,10.2479,327.27558353956,32.361287610239,33.34957656134,5.755,-0.9882889511015
12/31/1995,7.5745,10.2249,360.2819527168,39.068859788059,43.318430945963,5.74,-4.2495711579035
12/31/1996,7.5495,8.9772,392.89705434807,40.803024157202,45.357287723094,5.613,-4.5542635658915
12/31/1997,4.0498,7.1643,415.86775386387,44.459245982728,49.607490116609,5.666,-5.1482441338813
12/31/1998,6.1844,13.2308,421.35147750474,46.426482685166,53.431584653204,5.736,-7.0051019680378
12/31/1999,8.8458,4.6698,458.82041733781,52.544410650248,61.314619861449,5.561,-8.7702092112004
12/31/2000,3.841,4.0094,468.39493726237,60.878396865526,65.124164122096,5.576,-4.2457672565694
12/31/2001,4.824,3.7793,485.44101453864,60.96352550447,65.218394082225,5.53,-4.2548685777547
12/31/2002,3.804,4.2972,514.93794887008,73.452725999409,78.498577658601,5.643,-5.0458516591917
12/31/2003,7.8604,3.8059,607.69928543387,90.838365703716,95.071650073445,5.629,-4.2332843697296
12/31/2004,7.9229,3.7673,709.14851480466,126.64771943256,139.31002096511,5.613,-12.662301532545
12/31/2005,7.9234,4.2463,820.3815955129,160.8378356402,183.73613169022,5.601,-22.898296050016
12/31/2006,8.0607,5.7965,940.25988879214,199.97392236378,229.95502712737,5.572,-29.981104763589
12/31/2007,7.6608,6.3729,1216.7354415249,253.07731857618,302.80370435685,5.414,-49.726385780674
12/31/2008,3.0867,8.3493,1198.8955821375,288.9021516037,350.92708550755,5.544,-62.024933903848
